Vertical lines
1: 2 3
3: 2 3
1: 3 4
5: 3 4
1: 4 5
7: 4 5
2: 5 6
9: 5 6
2: 6 7
11: 6 7
3: 7 8
13: 7 8
3: 8 9
15: 8 9
4: 9 10
17: 9 10
4: 10 11
19: 10 11
5: 11 12
21: 11 12
5: 12 13
23: 12 13
6: 13 14
25: 13 14
6: 14 15
27: 14 15
7: 15 16
29: 15 16
7: 16 17
31: 16 17
8: 17 18
33: 17 18
8: 18 19
35: 18 19
9: 19 20
37: 19 20
9: 20 21
39: 20 21
10: 21 22
41: 21 22
10: 22 23
43: 22 23
11: 23 24
45: 23 24
11: 24 25
47: 24 25
12: 25 26
49: 25 26
12: 26 27
51: 26 27
13: 27 28
53: 27 28
13: 28 29
55: 28 29
14: 29 30
57: 29 30
14: 30 31
59: 30 31
15: 31 32
61: 31 32
15: 32 33
63: 32 33
16: 33 34
65: 33 34
16: 34 35
67: 34 35
17: 35 36
69: 35 36
17: 36 37
71: 36 37
18: 37 38
73: 37 38
18: 38 39
75: 38 39
19: 39 40
77: 39 40
19: 40 41
79: 40 41
20: 41 42
81: 41 42
20: 42 43
83: 42 43
21: 43 44
85: 43 44
21: 44 45
87: 44 45
22: 45 46
89: 45 46
22: 46 47
91: 46 47
23: 47 48
93: 47 48
23: 48 49
95: 48 49
24: 49 50
97: 49 50
24: 50 51
99: 50 51
25: 51 53
101: 51 53
26: 53 55
101: 53 55
27: 55 57
101: 55 57
28: 57 59
101: 57 59
29: 59 61
101: 59 61
30: 61 63
101: 61 63
31: 63 65
101: 63 65
32: 65 67
101: 65 67
33: 67 69
101: 67 69
34: 69 71
101: 69 71
35: 71 73
101: 71 73
36: 73 75
101: 73 75
37: 75 77
101: 75 77
38: 77 79
101: 77 79
39: 79 81
101: 79 81
40: 81 83
101: 81 83
41: 83 85
101: 83 85
42: 85 87
101: 85 87
43: 87 89
101: 87 89
44: 89 91
101: 89 91
45: 91 93
101: 91 93
46: 93 95
101: 93 95
47: 95 97
101: 95 97
48: 97 99
101: 97 99
49: 99 101
101: 99 101
50: 101 103
101: 101 103
Horizontal lines
2: 1 2
5: 1 2
2: 2 3
7: 2 3
3: 3 4
9: 3 4
3: 4 5
11: 4 5
4: 5 6
13: 5 6
4: 6 7
15: 6 7
5: 7 8
17: 7 8
5: 8 9
19: 8 9
6: 9 10
21: 9 10
6: 10 11
23: 10 11
7: 11 12
25: 11 12
7: 12 13
27: 12 13
8: 13 14
29: 13 14
8: 14 15
31: 14 15
9: 15 16
33: 15 16
9: 16 17
35: 16 17
10: 17 18
37: 17 18
10: 18 19
39: 18 19
11: 19 20
41: 19 20
11: 20 21
43: 20 21
12: 21 22
45: 21 22
12: 22 23
47: 22 23
13: 23 24
49: 23 24
13: 24 25
51: 24 25
14: 25 26
53: 25 26
14: 26 27
55: 26 27
15: 27 28
57: 27 28
15: 28 29
59: 28 29
16: 29 30
61: 29 30
16: 30 31
63: 30 31
17: 31 32
65: 31 32
17: 32 33
67: 32 33
18: 33 34
69: 33 34
18: 34 35
71: 34 35
19: 35 36
73: 35 36
19: 36 37
75: 36 37
20: 37 38
77: 37 38
20: 38 39
79: 38 39
21: 39 40
81: 39 40
21: 40 41
83: 40 41
22: 41 42
85: 41 42
22: 42 43
87: 42 43
23: 43 44
89: 43 44
23: 44 45
91: 44 45
24: 45 46
93: 45 46
24: 46 47
95: 46 47
25: 47 48
97: 47 48
25: 48 49
99: 48 49
26: 49 50
101: 49 50
26: 50 51
103: 50 51
27: 51 53
103: 51 53
28: 53 55
103: 53 55
29: 55 57
103: 55 57
30: 57 59
103: 57 59
31: 59 61
103: 59 61
32: 61 63
103: 61 63
33: 63 65
103: 63 65
34: 65 67
103: 65 67
35: 67 69
103: 67 69
36: 69 71
103: 69 71
37: 71 73
103: 71 73
38: 73 75
103: 73 75
39: 75 77
103: 75 77
40: 77 79
103: 77 79
41: 79 81
103: 79 81
42: 81 83
103: 81 83
43: 83 85
103: 83 85
44: 85 87
103: 85 87
45: 87 89
103: 87 89
46: 89 91
103: 89 91
47: 91 93
103: 91 93
48: 93 95
103: 93 95
49: 95 97
103: 95 97
50: 97 99
103: 97 99
51: 99 101
103: 99 101
